Timestamp,Normalized Timestamp (s),Temperature (C),Pressure (hPa),Humidity (%),VOC (ppm),CO2 (ppm),MQ3 (ppm),HCHO (ppm)
2025-08-19 16:07:20.676749,0.0,23.89,1015.21,47.74,2.2,2.4,2.2,2.35
2025-08-19 16:07:20.768853,0.09,23.9,1015.19,47.75,2.3,2.4,2.2,2.45
2025-08-19 16:07:20.858553,0.18,23.91,1015.21,47.74,2.3,2.35,2.0,2.45
2025-08-19 16:07:20.936031,0.26,23.92,1015.19,47.75,2.3,2.4,2.2,2.4
2025-08-19 16:07:21.030128,0.35,23.93,1015.21,47.75,2.2,2.4,2.1,2.4
2025-08-19 16:07:21.111930,0.44,23.94,1015.19,47.75,2.3,2.4,2.3,2.45
2025-08-19 16:07:21.193089,0.52,23.94,1015.21,47.76,2.2,2.4,2.2,2.4
2025-08-19 16:07:21.269325,0.59,23.95,1015.2,47.76,2.3,2.4,2.1,2.45
2025-08-19 16:07:21.346101,0.67,23.96,1015.19,47.75,2.3,2.4,2.2,2.4
2025-08-19 16:07:21.429095,0.75,23.96,1015.19,47.76,2.0,2.45,2.2,2.45
2025-08-19 16:07:21.505998,0.83,23.97,1015.2,47.76,2.3,2.4,2.1,2.4
2025-08-19 16:07:21.588820,0.91,23.97,1015.2,47.75,2.2,2.4,2.1,2.35
2025-08-19 16:07:21.667821,0.99,23.98,1015.19,47.76,2.1,2.35,2.2,2.45
2025-08-19 16:07:21.752575,1.08,23.98,1015.18,47.74,2.1,2.3,2.1,2.35
2025-08-19 16:07:21.840166,1.16,23.98,1015.2,47.75,2.1,2.4,2.1,2.4
2025-08-19 16:07:21.921427,1.24,23.98,1015.21,47.75,2.1,2.4,2.1,2.35
2025-08-19 16:07:22.008318,1.33,23.99,1015.2,47.75,2.1,2.4,2.2,2.4
2025-08-19 16:07:22.092255,1.42,23.99,1015.2,47.75,2.0,2.4,2.1,2.4
2025-08-19 16:07:22.178062,1.5,23.99,1015.19,47.75,2.0,2.35,2.1,2.4
2025-08-19 16:07:22.263039,1.59,23.99,1015.2,47.74,2.2,2.35,2.1,2.35
2025-08-19 16:07:22.345805,1.67,23.99,1015.19,47.73,2.1,2.4,2.2,2.4
2025-08-19 16:07:22.431756,1.76,23.99,1015.2,47.74,2.1,2.4,2.2,2.4
2025-08-19 16:07:22.516518,1.84,23.99,1015.2,47.74,2.2,2.45,2.2,2.4
2025-08-19 16:07:22.600856,1.92,24.0,1015.19,47.73,2.1,2.4,2.1,2.4
2025-08-19 16:07:22.685313,2.01,24.0,1015.19,47.73,2.1,2.35,2.1,2.4
2025-08-19 16:07:22.771755,2.1,24.0,1015.18,47.73,2.0,2.4,2.1,2.4
2025-08-19 16:07:22.854761,2.18,24.0,1015.18,47.73,2.0,2.35,2.1,2.35
2025-08-19 16:07:22.939179,2.26,24.0,1015.2,47.74,2.1,2.45,2.1,2.4
2025-08-19 16:07:23.022148,2.35,24.0,1015.2,47.73,2.1,2.35,2.1,2.35
2025-08-19 16:07:23.108943,2.43,24.0,1015.21,47.72,2.1,2.4,2.1,2.4
2025-08-19 16:07:23.192361,2.52,24.0,1015.21,47.71,2.1,2.35,2.2,2.35
2025-08-19 16:07:23.277295,2.6,24.0,1015.21,47.71,2.1,2.4,2.2,2.4
2025-08-19 16:07:23.360372,2.68,24.0,1015.2,47.71,2.1,2.35,2.2,2.35
2025-08-19 16:07:23.447338,2.77,24.0,1015.2,47.71,2.1,2.4,2.2,2.4
2025-08-19 16:07:23.529803,2.85,24.01,1015.21,47.71,2.1,2.35,2.0,2.35
2025-08-19 16:07:23.617710,2.94,24.01,1015.2,47.69,2.1,2.4,2.2,2.4
2025-08-19 16:07:23.701131,3.02,24.01,1015.2,47.68,2.1,2.35,2.2,2.4
2025-08-19 16:07:23.784077,3.11,24.01,1015.21,47.68,2.1,2.45,2.1,2.4
2025-08-19 16:07:23.869343,3.19,24.01,1015.21,47.67,2.1,2.4,2.2,2.4
2025-08-19 16:07:23.950458,3.27,24.01,1015.21,47.68,2.1,2.35,2.1,2.35
2025-08-19 16:07:24.036229,3.36,24.01,1015.21,47.67,2.1,2.4,2.2,2.4
2025-08-19 16:07:24.118392,3.44,24.01,1015.2,47.67,2.0,2.35,2.1,2.35
2025-08-19 16:07:24.204208,3.53,24.01,1015.2,47.68,2.1,2.35,2.2,2.4
